variant,label,seed,color,mean_reward_return,median_reward_return,std_reward_return,mean_return_rate,sharpe_ratio,annualized_sharpe_ratio,win_rate,max_drawdown,avg_holding_time_steps,turnover_ratio,blocked_trade_rate,invalid_sell_rate,executed_trade_rate,mean_position_ratio,max_position_ratio,mean_effective_max_exposure_ratio,exposure_cap_hit_rate,episodes,epsilon,periods_per_year
dqn,DQN,7,#4E79A7,-26.000000219792128,-17.650000263005495,76.80294048269157,0.0018386587987864929,0.38337835993098046,6.085942790527104,0.08333333333333333,-0.01968178251207156,34.666666666666664,0.6687431879304583,0.0,0.8674347917524612,0.05692427172904296,0.01798404529935289,0.25,1.0,0.015272244355909695,12.0,0.0,252.0
dqn,DQN,21,#4E79A7,0.0,0.0,0.0,0.10606189261720207,0.6127442387546609,9.727013238194512,0.0,-0.17356821453939533,186.83333333333334,0.7911512857183095,0.0,0.0,0.5459510077653715,0.6883386048877411,0.7926050721966357,1.0,0.4100265604249667,12.0,0.0,252.0
dqn,DQN,42,#4E79A7,-24.891667037581403,-25.00000037252903,0.3012704625313666,-1.000088900582341e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,252.0
ddqn,Double DQN,7,#F28E2B,405.32499996138114,462.19999999552965,173.81411591715064,0.09695712463213435,0.5590890425433986,8.875263403866262,1.0,-0.15857711740924907,187.344696969697,25.85877309841968,0.0,0.10325365205843294,0.7247675962815405,0.457071545461021,0.9999889940839054,1.0,0.18791500664010627,12.0,0.0,252.0
ddqn,Double DQN,21,#F28E2B,0.0,0.0,0.0,0.24180198794006347,1.1425227647649376,18.136986616787848,0.0,-0.21065630659701498,249.25,0.9994003597162614,0.0,0.0,0.1093944164702755,0.9903345287053523,0.9999999999503006,1.0,0.943891102257636,12.0,0.0,252.0
ddqn,Double DQN,42,#F28E2B,-14.366666874537865,-12.90000019222498,5.526351098741636,-0.0018378042065923066,-0.3015113447418388,-4.786344213909407,0.0,-0.0037447695934382428,1.0,0.08149445578322,0.0,0.9982456140350878,0.0017543859649122807,0.001938393275853898,0.04133566740339113,1.0,0.0,12.0,0.0,252.0
dueling_ddqn,Dueling DDQN,7,#59A14F,191.29166666107872,167.5,102.6465737269068,0.11325262819536762,0.7718249013746148,12.252340468345112,1.0,-0.17734593342007943,243.33333333333334,15.417066226049604,0.0,0.024279924003910297,0.964344863771981,0.6070803258646383,0.9999998298046117,1.0,0.06374501992031871,12.0,0.0,252.0
dueling_ddqn,Dueling DDQN,21,#59A14F,0.0,0.0,0.0,0.18786062115701277,1.0733599278603745,17.039060618284683,0.0,-0.19907717997820995,216.33333333333334,0.9161169963924337,0.0,0.0,0.15004295588209926,0.8572731644144979,0.9166666666103378,1.0,0.7868525896414341,12.0,0.0,252.0
dueling_ddqn,Dueling DDQN,42,#59A14F,206.7666665005187,203.29999990016222,175.79948026166954,0.010253968431269966,0.16050036082299243,2.5478642404426326,0.75,-0.06910414035685157,124.61111111111113,5.871879182225549,0.0,0.47551325115511284,0.3155866050218117,0.07137130881986088,0.7440686700561869,1.0,0.0099601593625498,12.0,0.0,252.0
d3qn_per_nstep,D3QN + PER + 3-step,7,#E15759,0.0,0.0,0.0,-1.000088900582341e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,252.0
d3qn_per_nstep,D3QN + PER + 3-step,21,#E15759,0.0,0.0,0.0,0.24173820577536187,1.146919976653455,18.20679019150229,0.0,-0.2106563066073932,251.0,0.9994003597841296,0.0,0.0,0.003984063745019919,0.9999999999999999,1.0,1.0,1.0,12.0,0.0,252.0
d3qn_per_nstep,D3QN + PER + 3-step,42,#E15759,237.93333314110836,216.54999983683228,228.37621140586734,0.017504165470782762,0.8001394393344251,12.70181982392125,0.75,-0.033802692568710484,122.0,6.878449888067036,0.0,0.5139442231075697,0.32735723771580344,0.05101038662840764,0.6730956606516537,1.0,0.0199203187250996,12.0,0.0,252.0
d3qn_per_nstep_noisy,D3QN + PER + 3-step + Noisy,7,#B07AA1,0.0,0.0,0.0,0.11121886256019803,0.5610094461519736,8.905748866057223,0.0,-0.0555242549551636,76.58333333333333,0.4160914909327104,0.0,0.0,0.14865118649979206,0.30345949255619514,0.4163479335414984,1.0,0.2772244355909695,12.0,0.0,252.0
d3qn_per_nstep_noisy,D3QN + PER + 3-step + Noisy,21,#B07AA1,0.0,0.0,0.0,0.10746231585148804,0.5283572545224,8.387411393178764,0.0,-0.0411604424652544,68.5,0.2914917716037045,0.0,0.0,0.08432934926958831,0.2617776145411291,0.29466884842449187,1.0,0.25,12.0,0.0,252.0
d3qn_per_nstep_noisy,D3QN + PER + 3-step + Noisy,42,#B07AA1,-25.100000374019146,-25.100000374019146,0.0,-1.000088900582341e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,252.0
