variant,label,seed,color,mean_reward_return,median_reward_return,std_reward_return,mean_return_rate,sharpe_ratio,annualized_sharpe_ratio,win_rate,max_drawdown,avg_holding_time_steps,turnover_ratio,blocked_trade_rate,invalid_sell_rate,executed_trade_rate,mean_position_ratio,max_position_ratio,mean_effective_max_exposure_ratio,exposure_cap_hit_rate,episodes,epsilon,periods_per_year
dueling_ddqn,Dueling DDQN,7,#59A14F,191.29166666107872,167.5,102.6465737269068,0.11325262819536762,0.7718249013746148,12.252340468345112,1.0,-0.17734593342007943,243.33333333333334,15.417066226049604,0.0,0.024279924003910297,0.964344863771981,0.6070803258646383,0.9999998298046117,1.0,0.06374501992031871,12.0,0.0,252.0
dueling_ddqn,Dueling DDQN,21,#59A14F,0.0,0.0,0.0,0.18786062115701277,1.0733599278603745,17.039060618284683,0.0,-0.19907717997820995,216.33333333333334,0.9161169963924337,0.0,0.0,0.15004295588209926,0.8572731644144979,0.9166666666103378,1.0,0.7868525896414341,12.0,0.0,252.0
dueling_ddqn,Dueling DDQN,42,#59A14F,206.7666665005187,203.29999990016222,175.79948026166954,0.010253968431269966,0.16050036082299243,2.5478642404426326,0.75,-0.06910414035685157,124.61111111111113,5.871879182225549,0.0,0.47551325115511284,0.3155866050218117,0.07137130881986088,0.7440686700561869,1.0,0.0099601593625498,12.0,0.0,252.0
dueling_noisy_full_sigma05,"Noisy Full (sigma=0.5, lr=0.0005)",7,#E15759,0.0,0.0,0.0,0.24028969588139812,1.1564179120930491,18.357565242352567,0.0,-0.21065630660304255,251.0,0.9994003597804936,0.0,0.0,0.03884462151394422,0.9990084899923107,0.9999999999975238,1.0,0.9810756972111555,12.0,0.0,252.0
dueling_noisy_full_sigma05,"Noisy Full (sigma=0.5, lr=0.0005)",21,#E15759,0.0,0.0,0.0,0.17052917099796686,0.7708585380322132,12.23699992586437,0.0,-0.16739409387035656,187.5,0.749550269838097,0.0,0.0,0.004023587690495631,0.747011952191235,0.75,1.0,0.7470119521912352,12.0,0.0,252.0
dueling_noisy_full_sigma05,"Noisy Full (sigma=0.5, lr=0.0005)",42,#E15759,-25.100000374019146,-25.100000374019146,0.0,-1.000088900582341e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,252.0
dueling_noisy_full_sigma05_lr25,"Noisy Full (sigma=0.5, lr=0.00025)",7,#4E79A7,0.0,0.0,0.0,0.12060138881905476,0.6154851000348533,9.770523062147603,0.0,-0.08423705821211656,103.25,0.5829835332756225,0.0,0.0,0.327523240371846,0.40895396454006266,0.5833333244655988,1.0,0.3585657370517928,12.0,0.0,252.0
dueling_noisy_full_sigma05_lr25,"Noisy Full (sigma=0.5, lr=0.00025)",21,#4E79A7,0.0,0.0,0.0,0.10210854445141389,0.49737891450302313,7.895645490853538,0.0,-0.03759607014776233,62.75,0.2498500899460324,0.0,0.0,0.0010069461522907001,0.25,0.25,1.0,0.25,12.0,0.0,252.0
dueling_noisy_full_sigma05_lr25,"Noisy Full (sigma=0.5, lr=0.00025)",42,#4E79A7,-25.100000374019146,-25.100000374019146,0.0,-1.000088900582341e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,252.0
dueling_noisy_full_sigma03_lr25,"Noisy Full (sigma=0.3, lr=0.00025)",7,#B07AA1,0.0,0.0,0.0,0.10041481613680521,0.4895062142115781,7.770670248147282,0.0,-0.09091026888927685,115.33333333333333,0.49970017988358123,0.0,0.0,0.22585694704448603,0.4372775364186032,0.5072696364215168,1.0,0.38512616201859223,12.0,0.0,252.0
dueling_noisy_full_sigma03_lr25,"Noisy Full (sigma=0.3, lr=0.00025)",21,#B07AA1,0.0,0.0,0.0,0.11140915738251066,0.5490686594501882,8.716194753628876,0.0,-0.05325622462689792,74.08333333333333,0.3331334334050754,0.0,0.0,0.09030544488711818,0.2941619209173248,0.333333315889302,1.0,0.25630810092961487,12.0,0.0,252.0
dueling_noisy_full_sigma03_lr25,"Noisy Full (sigma=0.3, lr=0.00025)",42,#B07AA1,97.4999997081856,-24.70000036805868,240.41988282781574,0.0202744908490463,0.41772778594639365,6.631223024014679,0.25,-0.01641342775692649,51.416666666666664,5.359019656588985,0.0,0.7951527224435591,0.1650066401062417,0.042737740729523854,0.25000000000000006,1.0,0.03253652058432935,12.0,0.0,252.0
