variant,label,color,seeds,mean_reward_return_mean,mean_reward_return_std,mean_return_rate_mean,mean_return_rate_std,annualized_sharpe_ratio_mean,annualized_sharpe_ratio_std,max_drawdown_mean,max_drawdown_std,win_rate_mean,win_rate_std
dueling_ddqn,Dueling DDQN,#59A14F,3,132.6861110538658,94.03570936956795,0.10378907259455011,0.07281574892181852,10.613088442357476,6.028490884614715,-0.14850908458504697,0.05684435266676121,0.5833333333333334,0.42491829279939874
dueling_noisy_full_sigma05,"Noisy Full (sigma=0.5, lr=0.0005)",#E15759,3,-8.366666791339716,11.832253648169212,0.1369396222927883,0.10093224731959892,10.198188389405646,7.631846205984747,-0.1260168001577997,0.09084081389676546,0.0,0.0
dueling_noisy_full_sigma05_lr25,"Noisy Full (sigma=0.5, lr=0.00025)",#4E79A7,3,-8.366666791339716,11.832253648169212,0.07423664442315618,0.053033359656731824,5.888722851000381,4.2337205142172465,-0.0406110427866263,0.034455653034663775,0.0,0.0
dueling_noisy_full_sigma03_lr25,"Noisy Full (sigma=0.3, lr=0.00025)",#B07AA1,3,32.49999990272853,45.96194063956296,0.07736615478945405,0.040618652968557,7.706029341930279,0.8524125031892409,-0.053526640424367083,0.030413809124609857,0.08333333333333333,0.11785113019775792
