variant,label,color,seeds,mean_reward_return_mean,mean_reward_return_std,mean_return_rate_mean,mean_return_rate_std,annualized_sharpe_ratio_mean,annualized_sharpe_ratio_std,max_drawdown_mean,max_drawdown_std,win_rate_mean,win_rate_std
dueling_ddqn,Dueling DDQN,#59A14F,3,132.6861110538658,94.03570936956795,0.10378907259455011,0.07281574892181852,10.613088442357476,6.028490884614715,-0.14850908458504697,0.05684435266676121,0.5833333333333334,0.42491829279939874
dueling_noisy_full_sigma05,Noisy Full (sigma=0.5),#E15759,3,-8.366666791339716,11.832253648169212,0.1369396222927883,0.10093224731959892,10.198188389405646,7.631846205984747,-0.1260168001577997,0.09084081389676546,0.0,0.0
dueling_noisy_head_sigma01,Noisy Head (sigma=0.1),#B07AA1,3,32.777777614278925,64.91699739360968,0.04797733113620878,0.046498085405451396,4.90206173259604,3.6181952338113246,-0.04939604663095132,0.04371499309016755,0.1111111111111111,0.15713484026367722
dueling_noisy_head_sigma02,Noisy Head (sigma=0.2),#4E79A7,3,-3.2111112727887097,13.762849856638665,0.10434974271138556,0.1006523094376603,7.589516323069911,7.826901471349127,-0.12064752904125144,0.08868697648595072,0.2777777777777778,0.3928371006591931
