variant,label,color,seeds,mean_reward_return_mean,mean_reward_return_std,mean_return_rate_mean,mean_return_rate_std,sharpe_ratio_mean,sharpe_ratio_std,annualized_sharpe_ratio_mean,annualized_sharpe_ratio_std,max_drawdown_mean,max_drawdown_std,win_rate_mean,win_rate_std
dqn_returns_account,DQN,#4E79A7,3,13.919999969005584,24.232474105004112,0.08058341768371757,0.11481171403710312,0.26999259997411024,0.45285704065526716,4.285999652155438,7.188882654231023,-0.07443997885012683,0.10029422293696319,0.26666666666666666,0.37712361663282534
ddqn_returns_account,DDQN,#F28E2B,3,27.24833332709968,20.966958264023297,0.12279453711491806,0.10058356043083348,0.4813142455403121,0.42576306834582406,7.64062677703407,6.758779177673081,-0.14037746849556623,0.08976643827420425,0.5,0.3559026084010437
dueling_ddqn_returns_account,Duel DDQN,#59A14F,3,16.463333331545194,22.31642195669041,0.08053167976116705,0.11473854623182715,0.27825558805938366,0.46449817044138636,4.417170521514978,7.37367986059441,-0.06980344379169458,0.09374010413748997,0.30000000000000004,0.3559026084010437
d3qn_per_nstep_returns_account,D3QN (+PER+3-step),#FF9D9A,3,-2.2650000573446354,3.203193799872621,0.12188051303690979,0.09918567011464571,0.6117754930413535,0.4326636298070336,9.711634876748084,6.868322194871543,-0.12326984972382102,0.09083728869467289,0.049999999999999996,0.07071067811865475
d3qn_per_nstep_noisy_returns_account,D3QN+Noisy,#A0CBE8,3,0.0,0.0,0.1619668151603639,0.1145278333277886,0.605285006937203,0.42800113295584274,9.608601604031069,6.794307351930307,-0.1441454350159374,0.10192621457685416,0.0,0.0
