variant,label,color,seeds,mean_reward_return_mean,mean_reward_return_std,mean_return_rate_mean,mean_return_rate_std,annualized_sharpe_ratio_mean,annualized_sharpe_ratio_std,max_drawdown_mean,max_drawdown_std,win_rate_mean,win_rate_std
dueling_ddqn_returns_account,Dueling DDQN (returns + account),#8CD17D,3,16.463333331545194,22.31642195669041,0.08053167976116705,0.11473854623182715,4.417170521514978,7.37367986059441,-0.06980344379169458,0.09374010413748997,0.30000000000000004,0.3559026084010437
d3qn_per_nstep_returns_account,D3QN + PER + 3-step (returns + account),#FF9D9A,3,-2.2650000573446354,3.203193799872621,0.12188051303690979,0.09918567011464571,9.711634876748084,6.868322194871543,-0.12326984972382102,0.09083728869467289,0.049999999999999996,0.07071067811865475
dueling_noisy_full_sigma05_returns_account,Noisy Full (returns + account),#A0CBE8,3,-8.366666791339716,11.832253648169212,0.15212842198755333,0.10833048899403751,9.326687794038053,6.60796464407006,-0.1425341118186066,0.10079651507286874,0.0,0.0
